,0,1,2,3,4
4471,"""Lucky's Café""","""Chon Thai Food""","""Capriotti's Sandwich Shop""","""Cactus Club Cafe""","""Hobak Korean BBQ"""
4472,"""Ni Ji Sushi""","""Pizza Brutta""","""Due Forni""","""Cheba Hut""","""Paymon's Mediterranean Cafe & Lounge"""
4473,"""Umiya Sushi""","""Liberty Market""","""Lucky's Café""","""Deagan's Kitchen & Bar""","""Beckett's Table"""
4474,"""DW Bistro""","""Craft 64""","""Chicago Gyros""","""Musashi Japanese Steakhouse""","""Barrio"""
4475,"""Andre's""","""Guy Fieri's Vegas Kitchen & Bar""","""Culver's""","""Joe's Midnight Run""","""Soho Japanese Restaurant"""
4476,"""Postino Arcadia""","""Thirsty Lion Gastropub & Grill""","""Blue Adobe Grille""","""Fleming's Prime Steakhouse - Peoria""","""TJ's Homestyle Restaurant"""
4477,"""Hash Kitchen""","""Frost Gelato""","""Cibo""","""Beckett's Table""","""M&M Soul Food Cafe"""
4478,"""Carmen""","""Hudson Kitchen""","""Sushi Kaji Restaurant""","""Lim Ga Ne""","""Poke Guys"""
4479,"""Dumpling House Restaurant""","""Woodstock BBQ""","""Lahore Tikka House""","""Cibo""","""Bobby's Burger Palace"""
4480,"""Barrio""","""Yummy Grill & Sushi""","""L'Atelier de Joël Robuchon""","""Postino Arcadia""","""Island Sushi & Grill"""
4481,"""Yummy Grill & Sushi""","""Bannock""","""Island Sushi & Grill""","""Mi Peru South American Grill""","""My Thai"""
4482,"""Adamson Barbecue""","""Craft 64""","""Blaze Fast-Fire'd Pizza""","""Hugo's Cellar""","""The Shore Club - Toronto"""
4483,"""Sonora Mesquite Grill""","""Cibo""","""Andre's""","""Musashi Japanese Steakhouse""","""DW Bistro"""
4484,"""Makai Pacific Island Grill""","""Liberty Market""","""Eiffel Tower""","""Umiya Sushi""","""DW Bistro"""
4485,"""Rosallie""","""Kai""","""Yummy Grill & Sushi""","""Pastel Creperies & Dessert House""","""Butterfield's Pancake House"""
4486,"""Angelo's Pizza""","""Mert's Heart & Soul""","""Firefly""","""Fat Heads Brewery and Saloon""","""Naked Fish's Sushi & Grill"""
4487,"""Naked Fish's Sushi & Grill""","""Stacks & Yolks""","""Firefly""","""Other Mama""","""Beer Park"""
4488,"""Foosia""","""KINKA IZAKAYA MONTREAL""","""Barrio""","""Cibo""","""Island Sushi & Grill"""
4489,"""Presti's Bakery""","""Barrio""","""Postino Arcadia""","""Futo Buta""","""OHSO Brewery - Paradise Valley"""
4490,"""Presti's Bakery""","""Kodo Sushi Sake""","""Bannock""","""Lucky's Café""","""Cartel Coffee Lab"""
4491,"""Rosallie""","""Cactus Club Cafe""","""Burrito Boyz""","""Soho Japanese Restaurant""","""Maker Pizza"""
4492,"""Angelo's Pizza""","""Frost Gelato""","""Alexander Michael's""","""Salt Cellar""","""Yupha's Thai Kitchen"""
4493,"""Giant Hamburgers""","""FIKA""","""Cibo""","""Barrio""","""DW Bistro"""
4494,"""Stacks & Yolks""","""Tacos & Beer""","""The Habit Burger Grill""","""Wingstop""","""Butterfield's Pancake House"""
4495,"""Ni Ji Sushi""","""Ruth's Chris Steak House""","""Chipotle Mexican Grill""","""Salt Cellar""","""Kaiju"""
4496,"""Carmen""","""Nobuo At Teeter House""","""Cibo""","""Foosia""","""Blaze Fast-Fire'd Pizza"""
4497,"""Dumpling House Restaurant""","""Original ChopShop""","""Kodo Sushi Sake""","""BARDOT Brasserie""","""Graze"""
4498,"""Burrito Boyz""","""Pita Jungle""","""Cheese N Stuff Deli""","""Monty's Blue Plate Diner""","""Guy Fieri's Vegas Kitchen & Bar"""
4499,"""Mad House Coffee""","""Pita House""","""Soho Japanese Restaurant""","""Blaze Fast-Fire'd Pizza""","""Hash House A Go Go"""
4500,"""Butterfield's Pancake House""","""Taqueria Mi Casita""","""Andre's""","""Soho Japanese Restaurant""","""Tacos & Beer"""
4501,"""Salt Cellar""","""Cafe Breizh""","""Izakaya Go""","""Restaurant Chantecler""","""Lola Coffee"""
4502,"""Cartel Coffee Lab""","""Angelo's Pizza""","""Garage Wine and Tap""","""The Herb Box""","""Dave & Buster's"""
4503,"""Frost Gelato""","""Le Robin Square""","""Fat Heads Brewery and Saloon""","""Lucky's Café""","""Chon Thai Food"""
4504,"""Richardson's""","""L'Atelier de Joël Robuchon""","""Pizza-Pide""","""Pita Jungle""","""Postino Arcadia"""
4505,"""Casa Don Juan  - Summerlin""","""Pizza Brutta""","""Bragg's Factory Diner""","""Grand Lux Cafe""","""Adamson Barbecue"""
4506,"""Grand Lux Cafe""","""School Restaurant""","""Sushi Kaji Restaurant""","""Angelo's Pizza""","""N9NE Steakhouse"""
4507,"""Cactus Club Cafe""","""Tups Specialty Sandwiches""","""Omelet House""","""Sammy's Woodfired Pizza and Grill""","""In-N-Out Burger"""
4508,"""Buon Gusto Ristorante""","""L'Atelier de Joël Robuchon""","""Poke Guys""","""Cibo""","""Guy Fieri's Vegas Kitchen & Bar"""
4509,"""BLT Burger""","""The Fry Bread House""","""Ahipoki Bowl""","""Lucky's Café""","""Eiffel Tower"""
4510,"""Burrito Boyz""","""Cartel Coffee Lab""","""The Herb Box""","""Yupha's Thai Kitchen""","""Craft 64"""
4511,"""Musashi Japanese Steakhouse""","""Joyride Taco House""","""Postino Arcadia""","""Mattie's Diner""","""DW Bistro"""
4512,"""Sushi Kaji Restaurant""","""Kai""","""Butterfield's Pancake House""","""Pita Jungle""","""Postino Arcadia"""
4513,"""Presti's Bakery""","""N9NE Steakhouse""","""Island Sushi & Grill""","""Grand Lux Cafe""","""Oregano's Pizza Bistro"""
4514,"""Tups Specialty Sandwiches""","""Ocotillo""","""Sunrise House""","""Burrito Boyz""","""Yupha's Thai Kitchen"""
4515,"""Dumpling House Restaurant""","""Original ChopShop""","""Island Sushi & Grill""","""Saddlecreek Coffee""","""Adamson Barbecue"""
4516,"""Blaze Fast-Fire'd Pizza""","""Icy Juicy""","""Omelet House""","""Poke Guys""","""Naked Fish's Sushi & Grill"""
4517,"""Z'Tejas""","""Cafe Breizh""","""Omelet House""","""L'Atelier de Joël Robuchon""","""Buon Gusto Ristorante"""
4518,"""Firefly""","""Cactus Club Cafe""","""Arizona Charlie's Decatur""","""Rolling in Dough Cafe""","""Spago by Wolfgang Puck"""
4519,"""Island Sushi & Grill""","""Giant Hamburgers""","""Grand Lux Cafe""","""Ocotillo""","""Pedro's Mexican Restaurant"""
4520,"""Yama Sushi""","""Chicago Gyros""","""Angelo's Pizza""","""Sushi Kaji Restaurant""","""N9NE Steakhouse"""
4521,"""Foosia""","""Zappone's Italian Bistro""","""Anatolia Restaurant""","""Cartel Coffee Lab""","""Nick's"""
4522,"""Poke Guys""","""Postino Arcadia""","""Foosia""","""Blaze Fast-Fire'd Pizza""","""Cibo"""
4523,"""Lola Coffee""","""Bragg's Factory Diner""","""RePete's""","""Liberty Market""","""Butterfield's Pancake House"""
4524,"""Rolling in Dough Cafe""","""The Hummus Factory""","""Ohana Hawaiian BBQ""","""Sammy's L.A. Pastrami & Burgers""","""Ahipoki Bowl"""
4525,"""Blue Adobe Grille""","""Babbo Italian Eatery""","""Thai Elephant""","""Ventano Italian Grill & Seafood""","""Umiya Sushi"""
4526,"""Fat Heads Brewery and Saloon""","""Blaze Fast-Fire'd Pizza""","""Angelo's Pizza""","""School Restaurant""","""N9NE Steakhouse"""
4527,"""The Habit Burger Grill""","""Pisces Sushi Bar & Lounge""","""Craft Tasting Room & Growler Shop""","""The Barrymore""","""Futo Buta"""
4528,"""Other Mama""","""Kid Cashew""","""Hobak Korean BBQ""","""Firefly""","""Sinatra"""
4529,"""Chompie's Deli""","""Grand Lux Cafe""","""Yupha's Thai Kitchen""","""Poke Guys""","""Burrito Boyz"""
4530,"""Le Robin Square""","""Spinelli's Pizzeria""","""The Keg Steakhouse + Bar""","""Yummy Grill & Sushi""","""Cibo"""
4531,"""Dos Gringos""","""Petite Maison""","""SOLO Trattoria""","""Tori's Bakeshop""","""Dumpling House Restaurant"""
4532,"""SOLO Trattoria""","""Richardson's""","""FnB""","""Postino Arcadia""","""Pita Jungle"""
4533,"""Other Mama""","""Spago by Wolfgang Puck""","""Due Forni""","""Hobak Korean BBQ""","""WTPho"""
4534,"""L'Atelier de Joël Robuchon""","""Ahipoki Bowl""","""BLT Burger""","""Broadway Pizzeria""","""Eiffel Tower"""
4535,"""Three Little Pigs Sandwiches""","""Dumpling House Restaurant""","""Blaze Fast-Fire'd Pizza""","""Summer's Ice Cream""","""Burrito Boyz"""
4536,"""Mizumi""","""Thai Elephant""","""Due Forni""","""Musashi Japanese Steakhouse""","""Tommy V's Urban Kitchen & Bar"""
4537,"""DW Bistro""","""Pisces Sushi Bar & Lounge""","""Lucky's Café""","""Butterfield's Pancake House""","""The Barrymore"""
4538,"""Bannock""","""Electric Mud BBQ""","""Veggie Village""","""Ruth's Chris Steak House""","""Burrito Boyz"""
4539,"""Frost Gelato""","""Perk Up Coffee Shop""","""Cheba Hut""","""The Herb Box""","""Due Forni"""
4540,"""Yummy Grill & Sushi""","""Salt Cellar""","""Adamson Barbecue""","""Le Robin Square""","""Bragg's Factory Diner"""
4541,"""Kid Cashew""","""School Restaurant""","""Angelo's Pizza""","""Kaiju""","""Blaze Fast-Fire'd Pizza"""
4542,"""DW Bistro""","""Lucky's Café""","""Yupha's Thai Kitchen""","""Cibo""","""Liberty Market"""
4543,"""L'Atelier de Joël Robuchon""","""Tokyo Sushi House""","""Downtown Terrace""","""Cibo""","""Hobak Korean BBQ"""
4544,"""Marco's Italian Bistro""","""Umiya Sushi""","""Dumpling House Restaurant""","""Andre's""","""Craft 64"""
4545,"""Soho Japanese Restaurant""","""Andre's""","""Hobak Korean BBQ""","""Guy Savoy""","""L'Atelier de Joël Robuchon"""
4546,"""Andre's""","""DB Brasserie""","""Lucky's Café""","""Island Sushi & Grill""","""BARDOT Brasserie"""
4547,"""BARDOT Brasserie""","""The Herb Box""","""Zappone's Italian Bistro""","""Spago by Wolfgang Puck""","""Pino's Pizza Al Centro"""
4548,"""Makai Pacific Island Grill""","""Ahipoki Bowl""","""Liberty Market""","""Soho Japanese Restaurant""","""Frost Gelato"""
4549,"""Musashi Japanese Steakhouse""","""Salvadoreno Restaurant""","""M&M Soul Food Cafe""","""Hash Kitchen""","""Hobak Korean BBQ"""
4550,"""Adamson Barbecue""","""Angelo's Pizza""","""Kaiju""","""Sushi Station""","""The Melting Pot-  Scottsdale"""
4551,"""Rolling in Dough Cafe""","""Lucky's Café""","""Chon Thai Food""","""Spago by Wolfgang Puck""","""Hobak Korean BBQ"""
4552,"""Barrio""","""Pastel Creperies & Dessert House""","""AMC Dine-in Theatres Esplanade 14""","""The Carbon Bar""","""DW Bistro"""
4553,"""Fat Heads Brewery and Saloon""","""Island Sushi & Grill""","""Postino Arcadia""","""Barrio""","""Dumpling House Restaurant"""
4554,"""Cactus Club Cafe""","""Lola Coffee""","""North of Brooklyn Pizzeria""","""Kaiju""","""Burrito Boyz"""
4555,"""McCormick & Schmick's Seafood & Steaks""","""Javier's""","""Makai Pacific Island Grill""","""Andre's""","""DW Bistro"""
4556,"""Mert's Heart & Soul""","""Blue Adobe Grille""","""Lucky's Café""","""Angelo's Pizza""","""Chipotle Mexican Grill"""
4557,"""Musashi Japanese Steakhouse""","""Pho Saigon 8""","""Big Dog's Draft House""","""Hobak Korean BBQ""","""Paymon's Mediterranean Cafe & Lounge"""
4558,"""Frost Gelato""","""Kaiju""","""Lucky's Café""","""Deagan's Kitchen & Bar""","""Chon Thai Food"""
4559,"""Futo Buta""","""Archi's Thai Cafe""","""Butterfield's Pancake House""","""Lucky's Café""","""The Barrymore"""
4560,"""The Habit Burger Grill""","""The Hummus Factory""","""Nana's Soul Food Kitchen""","""Rolling in Dough Cafe""","""Umiya Sushi"""
4561,"""N9NE Steakhouse""","""Buon Gusto Ristorante""","""Blue Adobe Grille""","""Mert's Heart & Soul""","""Island Sushi & Grill"""
4562,"""Island Sushi & Grill""","""Guy Fieri's Vegas Kitchen & Bar""","""Foosia""","""The Shore Club - Toronto""","""Joe Beef"""
4563,"""Joe Beef""","""Electric Mud BBQ""","""Ahipoki Bowl""","""Lola Coffee""","""Cibo"""
4564,"""Grand Lux Cafe""","""Musashi Japanese Steakhouse""","""Joyride Taco House""","""Other Mama""","""Stacks & Yolks"""
4565,"""Ocotillo""","""DW Bistro""","""Butterfield's Pancake House""","""The Greeks Grill""","""Andre's"""
4566,"""Broadway Pizzeria""","""Hobak Korean BBQ""","""Guy Savoy""","""Cibo""","""Stino Da Napoli"""
4567,"""Joe's Midnight Run""","""Guy Fieri's Vegas Kitchen & Bar""","""The County General""","""Soho Japanese Restaurant""","""Joyride Taco House"""
4568,"""Bonus Round""","""El Frescos Cocina Mexicana""","""Fatburger""","""Delices Gourmands French Bakery""","""Joyride Taco House"""
4569,"""Aladdin's Eatery""","""Sunrise House""","""Liberty Market""","""School Restaurant""","""Dos Gringos"""
4570,"""Due Forni""","""Vito's Pizza & Italian Ristorante""","""The Herb Box""","""Grand Lux Cafe""","""Yupha's Thai Kitchen"""
4571,"""Tacos & Beer""","""Babbo Italian Eatery""","""Butterfield's Pancake House""","""Yummy Grill & Sushi""","""Momofuku Daish?"""
4572,"""Swensons Drive-In""","""Sidecar""","""Los Tacos""","""Breakfast Club- CityScape""","""Blaze Fast-Fire'd Pizza"""
4573,"""Lucky's Café""","""Naked Fish's Sushi & Grill""","""Frost Gelato""","""Fat Heads Brewery and Saloon""","""Eiffel Tower"""
4574,"""Charleston's""","""Los Tacos""","""Le Robin Square""","""Liberty Market""","""Cibo"""
4575,"""DW Bistro""","""Barrio""","""Fat Heads Brewery and Saloon""","""Sinatra""","""Firefly"""
4576,"""Fresh Wasabi""","""Liberty Market""","""Chompie's Deli""","""The Melting Pot-  Scottsdale""","""Richardson's"""
4577,"""Fat Heads Brewery and Saloon""","""Bannock""","""Lola Coffee""","""Pinches Tacos""","""Postino Arcadia"""
4578,"""Soho Japanese Restaurant""","""Frost Gelato""","""Electric Mud BBQ""","""Bannock""","""Burrito Boyz"""
4579,"""Ahipoki Bowl""","""Gyu-Kaku Japanese BBQ""","""Beckett's Table""","""Cibo""","""Liberty Market"""
4580,"""DW Bistro""","""Lucky's Café""","""The Fry Bread House""","""Ahipoki Bowl""","""Eiffel Tower"""
4581,"""FIKA""","""Blaze Fast-Fire'd Pizza""","""Lucky's Café""","""Dumpling House Restaurant""","""Petite Maison"""
4582,"""California Sandwiches""","""Blaze Fast-Fire'd Pizza""","""Electric Mud BBQ""","""Pastel Creperies & Dessert House""","""Angelo's Pizza"""
4583,"""Dj's Bagel Cafe""","""Angelo's Pizza""","""Salt Cellar""","""Pita Jungle""","""24 Carrots Juice Bar & Cafe"""
4584,"""Petite Maison""","""Deagan's Kitchen & Bar""","""Tommy V's Urban Kitchen & Bar""","""Dumpling House Restaurant""","""China Magic Noodle House"""
4585,"""Burrito Boyz""","""Yupha's Thai Kitchen""","""Dumpling House Restaurant""","""Coquine Restaurant""","""Adamson Barbecue"""
4586,"""Danny Boy's Pizza""","""Blaze Fast-Fire'd Pizza""","""Firefly""","""Dumpling House Restaurant""","""SakeBomber Sushi & Grill"""
4587,"""Lucky's Café""","""Ruth's Chris Steak House""","""Hobak Korean BBQ""","""Spago by Wolfgang Puck""","""Chon Thai Food"""
4588,"""Ocotillo""","""Soho Japanese Restaurant""","""Craft 64""","""Joe's New York Pizza""","""East Ocean Dim Sum & Seafood Restaurant"""
4589,"""Ahipoki Bowl""","""N9NE Steakhouse""","""School Restaurant""","""Frost Gelato""","""Liberty Market"""
4590,"""Poke Guys""","""Adamson Barbecue""","""Mom's Teriyaki""","""Blaze Fast-Fire'd Pizza""","""Postino Arcadia"""
4591,"""China Mama Restaurant""","""Rolling in Dough Cafe""","""Z'Tejas""","""Mizumi""","""Poutineville"""
4592,"""Island Sushi & Grill""","""Barrio""","""Cibo""","""Fat Heads Brewery and Saloon""","""Dumpling House Restaurant"""
4593,"""Izakaya Go""","""The Barrymore""","""Umiya Sushi""","""Makai Pacific Island Grill""","""Ventano Italian Grill & Seafood"""
4594,"""Cheba Hut""","""Downtown Terrace""","""Frost Gelato""","""Butterfield's Pancake House""","""Hobak Korean BBQ"""
4595,"""The Keg Steakhouse + Bar""","""Original ChopShop""","""Tommy V's Urban Kitchen & Bar""","""Adamson Barbecue""","""Graze"""
4596,"""N9NE Steakhouse""","""Andre's""","""The Barrymore""","""Chon Thai Food""","""Lucky's Café"""
4597,"""Other Mama""","""Sinatra""","""The Harbord Room""","""Butterfield's Pancake House""","""Hobak Korean BBQ"""
4598,"""Poke Guys""","""Burrito Boyz""","""Soho Japanese Restaurant""","""Guy Fieri's Vegas Kitchen & Bar""","""Cibo"""
4599,"""L'Atelier de Joël Robuchon""","""Ahipoki Bowl""","""Cafe Breizh""","""Beckett's Table""","""Joe Beef"""
4600,"""AMC Dine-in Theatres Esplanade 14""","""Pa Pa Chang's""","""Soho Japanese Restaurant""","""The Carbon Bar""","""Cactus Club Cafe"""
4601,"""Chon Thai Food""","""Lucky's Café""","""The Fry Bread House""","""BLT Burger""","""Eiffel Tower"""
4602,"""Angelo's Pizza""","""Blaze Fast-Fire'd Pizza""","""Bannock""","""Fat Heads Brewery and Saloon""","""School Restaurant"""
4603,"""Cibo""","""Bannock""","""Fat Heads Brewery and Saloon""","""Federick""","""Deagan's Kitchen & Bar"""
4604,"""The Herb Box""","""Maverick Rock Taco""","""Postino Arcadia""","""Dumpling House Restaurant""","""Blaze Fast-Fire'd Pizza"""
4605,"""DW Bistro""","""Taqueria Mi Casita""","""Futo Buta""","""Stacks & Yolks""","""Joyride Taco House"""
4606,"""Maharaja Restaurant""","""Liberty Market""","""Mikado Sushi""","""On The Border Mexican Grill & Cantina""","""Frost Gelato"""
4607,"""Dumpling House Restaurant""","""Los Tacos""","""Firefly""","""Cibo""","""Blaze Fast-Fire'd Pizza"""
4608,"""Archi's Thai Cafe""","""Hash Kitchen""","""Beckett's Table""","""Butterfield's Pancake House""","""The Harbord Room"""
4609,"""Earl Of Sandwich""","""24 Carrots Juice Bar & Cafe""","""Salad King Restaurant""","""Adamson Barbecue""","""Dumpling House Restaurant"""
4610,"""Richardson's""","""Hash Kitchen""","""Deagan's Kitchen & Bar""","""Joyride Taco House""","""Postino Arcadia"""
4611,"""DW Bistro""","""Lucky's Café""","""Stacks & Yolks""","""The Barrymore""","""Futo Buta"""
4612,"""Lucky's Café""","""Paymon's Mediterranean Cafe & Lounge""","""Adamson Barbecue""","""Pizza Brutta""","""Cheba Hut"""
4613,"""Sidecar""","""Blaze Fast-Fire'd Pizza""","""Beckett's Table""","""The Harbord Room""","""Cibo"""
4614,"""Craft 64""","""OHSO Brewery - Paradise Valley""","""Cartel Coffee Lab""","""FnB""","""Spago by Wolfgang Puck"""
4615,"""Cartel Coffee Lab""","""Barrio Queen""","""Hobak Korean BBQ""","""L'Atelier de Joël Robuchon""","""Cafe Breizh"""
4616,"""Nobuo At Teeter House""","""Guy Fieri's Vegas Kitchen & Bar""","""Carmen""","""Orange Sky""","""Postino Arcadia"""
4617,"""Kaiju""","""Blaze Fast-Fire'd Pizza""","""Butterfield's Pancake House""","""Hobak Korean BBQ""","""Le Robin Square"""
4618,"""China Magic Noodle House""","""Poke Guys""","""Deagan's Kitchen & Bar""","""Kaiju""","""Blue Adobe Grille"""
4619,"""Naked Fish's Sushi & Grill""","""Foundation Room""","""Fat Heads Brewery and Saloon""","""Chon Thai Food""","""Firefly"""
4620,"""Aloha Kitchen & Bar""","""Liberty Market""","""DW Bistro""","""Ahipoki Bowl""","""Cibo"""
4621,"""BLT Burger""","""Spago by Wolfgang Puck""","""Dynasty Chinese Cuisine""","""Nobuo At Teeter House""","""BARDOT Brasserie"""
4622,"""Sushi Kaji Restaurant""","""Salad King Restaurant""","""N9NE Steakhouse""","""L'Atelier de Joël Robuchon""","""Angelo's Pizza"""
4623,"""Deagan's Kitchen & Bar""","""Lucky's Café""","""Postino Arcadia""","""Butterfield's Pancake House""","""The Barrymore"""
4624,"""Futo Buta""","""Naked Fish's Sushi & Grill""","""Firefly""","""Eiffel Tower""","""Umiya Sushi"""
4625,"""Adamson Barbecue""","""Pastel Creperies & Dessert House""","""Angelo's Pizza""","""Burrito Boyz""","""Salad King Restaurant"""
4626,"""Poncho's""","""Blaze Fast-Fire'd Pizza""","""Ventano Italian Grill & Seafood""","""Adamson Barbecue""","""Tommy V's Urban Kitchen & Bar"""
4627,"""Cibo""","""Eiffel Tower""","""Soho Japanese Restaurant""","""Naked Fish's Sushi & Grill""","""Frost Gelato"""
4628,"""Quiet Storm Vegetarian & Vegan Cafe""","""Chon Thai Food""","""Eiffel Tower""","""Ahipoki Bowl""","""Lucky's Café"""
4629,"""Momofuku Daish?""","""Ocotillo""","""Tacos & Beer""","""Firefly""","""Boba Hut"""
4630,"""Downtown Terrace""","""Makai Pacific Island Grill""","""Island Sushi & Grill""","""Barrio""","""Pizza Brutta"""
4631,"""Mi Peru South American Grill""","""Andre's""","""Cafe Zupas""","""Ruth's Chris Steak House""","""Island Sushi & Grill"""
4632,"""Nobuo At Teeter House""","""Cibo""","""Cartel Coffee Lab""","""The Herb Box""","""Blaze Fast-Fire'd Pizza"""
4633,"""FnB""","""Tommy V's Urban Kitchen & Bar""","""The Habit Burger Grill""","""Pieology Pizzeria""","""OHSO Brewery - Paradise Valley"""
4634,"""Lola Coffee""","""Au Pain Doré""","""Cibo""","""Curry Twist Restaurant""","""Liberty Market"""
4635,"""Omelet House""","""Raising Cane's""","""Cactus Club Cafe""","""Grand Lux Cafe""","""N9NE Steakhouse"""
4636,"""Soho Japanese Restaurant""","""Guy Fieri's Vegas Kitchen & Bar""","""Bomb Tacos""","""Yupha's Thai Kitchen""","""Cibo"""
4637,"""Blaze Fast-Fire'd Pizza""","""DW Bistro""","""AMC Dine-in Theatres Esplanade 14""","""Postino Arcadia""","""Cibo"""
4638,"""Joyride Taco House""","""Lola Coffee""","""The Hummus Factory""","""Other Mama""","""Foundation Room"""
4639,"""Le Robin Square""","""The Shore Club - Toronto""","""Soho Japanese Restaurant""","""Pastel Creperies & Dessert House""","""Toqué"""
4640,"""The Shore Club - Toronto""","""Sushi Catcher""","""Barrio""","""Craft 64""","""Island Sushi & Grill"""
4641,"""Miracle Mile Delicatessen""","""Tommy V's Urban Kitchen & Bar""","""The Melting Pot-  Scottsdale""","""Big Buddha""","""Cibo"""
4642,"""FnB""","""Sonora Mesquite Grill""","""Barrio""","""DW Bistro""","""Cheba Hut"""
4643,"""Angelo's Pizza""","""Spago by Wolfgang Puck""","""Firefly""","""Sidecar""","""M&M Soul Food Cafe"""
4644,"""Cheba Hut""","""Sidecar""","""Blaze Fast-Fire'd Pizza""","""Sicilian Sidewalk Cafe""","""BARDOT Brasserie"""
4645,"""Lucky's Café""","""Firefly""","""Swensons Drive-In""","""Barrio""","""Postino Arcadia"""
4646,"""Blaze Fast-Fire'd Pizza""","""Petite Maison""","""Adamson Barbecue""","""FnB""","""ShinBay"""
4647,"""Dumpling House Restaurant""","""Giant Hamburgers""","""Pastel Creperies & Dessert House""","""Wildflower Bread Company""","""Craft 64"""
4648,"""Orange Sky""","""Barrio Queen""","""Joe Beef""","""L'Atelier de Joël Robuchon""","""Paymon's Mediterranean Cafe & Lounge"""
4649,"""Postino Arcadia""","""Bomb Tacos""","""FnB""","""Yupha's Thai Kitchen""","""Guy Fieri's Vegas Kitchen & Bar"""
4650,"""Deagan's Kitchen & Bar""","""Blue Adobe Grille""","""China Magic Noodle House""","""Cibo""","""Guy Fieri's Vegas Kitchen & Bar"""
4651,"""Presti's Bakery""","""School Restaurant""","""N9NE Steakhouse""","""Angelo's Pizza""","""Lucky's Café"""
4652,"""Stacks & Yolks""","""Kaiju""","""Joyride Taco House""","""DW Bistro""","""Futo Buta"""
4653,"""Ni Ji Sushi""","""Big Smoke Burger""","""Rosewood Chinese Cuisine""","""Yupha's Thai Kitchen""","""Burrito Boyz"""
4654,"""Pastel Creperies & Dessert House""","""Kaiju""","""Le Robin Square""","""Bobby's Burger Palace""","""Soho Japanese Restaurant"""
4655,"""Cartel Coffee Lab""","""Nota Bene""","""BARDOT Brasserie""","""Cibo""","""Blaze Fast-Fire'd Pizza"""
4656,"""Pastel Creperies & Dessert House""","""Angelo's Pizza""","""Cibo""","""The Shore Club - Toronto""","""Electric Mud BBQ"""
4657,"""Bragg's Factory Diner""","""Papi Queso""","""Nara Hookah Lounge & Bar""","""Adamson Barbecue""","""Angelo's Pizza"""
4658,"""Cartel Coffee Lab""","""Tommy V's Urban Kitchen & Bar""","""Blaze Fast-Fire'd Pizza""","""Due Forni""","""The Herb Box"""
4659,"""Dumpling House Restaurant""","""Blaze Fast-Fire'd Pizza""","""Postino Arcadia""","""Bannock""","""Fat Heads Brewery and Saloon"""
4660,"""Burrito Boyz""","""Angelo's Pizza""","""Adamson Barbecue""","""OHSO Brewery - Paradise Valley""","""Yupha's Thai Kitchen"""
4661,"""Frost Gelato""","""Liberty Market""","""Angelo's Pizza""","""Kabuki Japanese Restaurant""","""Cibo"""
4662,"""Burrito Boyz""","""Jardin""","""BARDOT Brasserie""","""Spago by Wolfgang Puck""","""Firefly"""
4663,"""Adamson Barbecue""","""Blaze Fast-Fire'd Pizza""","""Joyride Taco House""","""FnB""","""Ocotillo"""
4664,"""Kai""","""Butterfield's Pancake House""","""Cibo""","""Liberty Market""","""Postino Arcadia"""
4665,"""Soho Japanese Restaurant""","""Vito's Pizza & Italian Ristorante""","""Mimis Cafe""","""Pastel Creperies & Dessert House""","""AMC Dine-in Theatres Esplanade 14"""
4666,"""Yupha's Thai Kitchen""","""Pita Jungle""","""Angelo's Pizza""","""Postino Arcadia""","""Sushi Kaji Restaurant"""
4667,"""Butterfield's Pancake House""","""Tacos & Beer""","""Blaze Fast-Fire'd Pizza""","""Ku Noodle by José Andrés""","""Postino Arcadia"""
4668,"""Barrio""","""Songbird Coffee & Tea House""","""N9NE Steakhouse""","""Fukuburger Truck""","""Lucky's Café"""
4669,"""FnB""","""Barrio Queen""","""Notorious Burgers""","""Dumpling House Restaurant""","""Adamson Barbecue"""
4670,"""L'Atelier de Joël Robuchon""","""Yupha's Thai Kitchen""","""M&M Soul Food Cafe""","""Monty's Blue Plate Diner""","""Cheese N Stuff Deli"""
4671,"""Salt Cellar""","""Ni Ji Sushi""","""Ocotillo""","""Tacos & Beer""","""Butterfield's Pancake House"""
4672,"""Federick""","""Chon Thai Food""","""Archi's Thai Cafe""","""The Barrymore""","""Lucky's Café"""
4673,"""Electric Mud BBQ""","""Sushi Kaji Restaurant""","""N9NE Steakhouse""","""The Herb Box""","""Angelo's Pizza"""
4674,"""Dumpling House Restaurant""","""Le Robin Square""","""Bannock""","""FIKA""","""Sunrise House"""
4675,"""Kai""","""Timbers - Azure""","""Downtown Terrace""","""Pa Pa Chang's""","""Hobak Korean BBQ"""
4676,"""Cactus Club Cafe""","""Chompie's Deli""","""Bannock""","""Soho Japanese Restaurant""","""Burrito Boyz"""
4677,"""BARDOT Brasserie""","""Adamson Barbecue""","""Grand Lux Cafe""","""FnB""","""Ocotillo"""
4678,"""Spago by Wolfgang Puck""","""Kai""","""Beckett's Table""","""Cafe Breizh""","""Joe Beef"""
4679,"""Hobak Korean BBQ""","""Omelet House""","""Makai Pacific Island Grill""","""Paymon's Mediterranean Cafe & Lounge""","""Raising Cane's"""
4680,"""Foundation Room""","""Gyu-Kaku Japanese BBQ""","""Hobak Korean BBQ""","""Cibo""","""Los Tacos"""
4681,"""Makai Pacific Island Grill""","""FIKA""","""Barrio""","""Eiffel Tower""","""DW Bistro"""
